Series;Time;Value
Avg processor CPU;2017-02-07T19:20:00.000Z;4.89788307150205
Avg processor CPU;2017-02-07T19:30:00.000Z;4.48942158917586
Avg processor CPU;2017-02-07T19:40:00.000Z;4.976920041441917
Avg processor CPU;2017-02-07T19:50:00.000Z;4.896952631076177
Avg processor CPU;2017-02-07T20:00:00.000Z;4.711622319618861
Avg processor CPU;2017-02-07T20:10:00.000Z;5.051210374633471
Avg processor CPU;2017-02-07T20:20:00.000Z;5.335715168714524
Avg processor CPU;2017-02-07T20:30:00.000Z;4.582626791795095
Avg processor CPU;2017-02-07T20:40:00.000Z;5.016471684972446
Avg processor CPU;2017-02-07T20:50:00.000Z;4.892275537053743
Avg processor CPU;2017-02-07T21:00:00.000Z;4.6452153811852135
Avg processor CPU;2017-02-07T21:10:00.000Z;4.960062955816587
Avg processor CPU;2017-02-07T21:20:00.000Z;4.955798643827439
Avg processor CPU;2017-02-07T21:30:00.000Z;4.494989869991938
Avg processor CPU;2017-02-07T21:40:00.000Z;5.006726143757502
Avg processor CPU;2017-02-07T21:50:00.000Z;4.875250755747159
Avg processor CPU;2017-02-07T22:00:00.000Z;4.597050193945567
Avg processor CPU;2017-02-07T22:10:00.000Z;4.918944841623306
Avg processor CPU;2017-02-07T22:20:00.000Z;4.93853959441185
Avg processor CPU;2017-02-07T22:30:00.000Z;4.449254129330317
Avg processor CPU;2017-02-07T22:40:00.000Z;4.9565607140461605
Avg processor CPU;2017-02-07T22:50:00.000Z;4.9038842240969345
Avg processor CPU;2017-02-07T23:00:00.000Z;6.443564576903979
Avg processor CPU;2017-02-07T23:10:00.000Z;7.784553181131681
Avg processor CPU;2017-02-07T23:20:00.000Z;5.2644382168849315
Avg processor CPU;2017-02-07T23:30:00.000Z;4.558458431561788
Avg processor CPU;2017-02-07T23:40:00.000Z;5.0041505098342896
Avg processor CPU;2017-02-07T23:50:00.000Z;4.92845809062322
Avg processor CPU;2017-02-08T00:00:00.000Z;54.25165355205536
Avg processor CPU;2017-02-08T00:10:00.000Z;54.81520227591197
Avg processor CPU;2017-02-08T00:20:00.000Z;54.86602125167847
Avg processor CPU;2017-02-08T00:30:00.000Z;55.43300048510233
